t_start_s,src,dst,bytes,tos
2.0035,39,37,279948,0
2.0042,25,26,136530,0
2.0082,28,25,40118,0
2.0128,33,32,157715,0
2.0133,27,36,263254,0
2.017,28,15,339523,0
2.0194,30,41,48986,0
2.032,13,3,9936,0
2.0322,41,37,133179,0
2.0349,3,24,47554,0
2.035,25,36,640318,0
2.0468,13,37,505396,0
2.0477,24,5,108768,0
2.0496,9,8,226611,0
2.0518,19,23,52341,0
2.0623,40,38,229985,0
2.065,33,34,57790,0
2.0686,32,33,246879,0
2.092,30,34,132947,0
2.0924,20,27,879537,0
2.1011,38,0,98479,0
2.1014,31,33,73221,0
2.1046,4,33,505278,0
2.1048,28,26,674007,0
2.1069,1,13,28591,0
2.1078,41,39,752803,0
2.108,22,40,378593,0
2.1098,21,26,33623,0
2.1176,23,6,204185,0
2.1214,31,32,10158,0
2.1322,37,39,65612,0
2.1363,22,21,657165,0
2.144,27,28,2682188,0
2.1509,41,5,2000,0
2.165,22,20,89761,0
2.1732,8,7,197305,0
2.1773,10,20,80222,0
2.1803,4,1,18880,0
2.1847,8,7,130530,0
2.1918,20,23,31389,0
2.1982,8,0,15413,0
2.2033,31,32,74775,0
2.2235,35,33,54704,0
2.2294,5,39,14218,0
2.2385,33,41,7661,0
2.239,28,29,104052,0
2.2394,16,13,551150,0
2.2466,10,8,24777,0
2.2522,11,8,6434,0
2.2633,13,32,32255,0
2.2648,40,1,1259981,0
2.2687,14,29,35914,0
2.2692,9,10,569909,0
2.2797,36,38,75227,0
2.2864,27,26,400849,0
2.2907,29,28,328078,0
2.294,22,2,411748,0
2.3022,35,4,74263,0
2.3109,21,20,54663,0
2.3125,8,19,27371,0
2.3135,34,32,27236,0
2.316,22,20,1729751,0
2.3441,19,18,31211,0
2.3529,20,18,116758,0
2.3542,24,26,167802,0
2.3562,13,17,82539,0
2.3784,30,18,154820,0
2.3838,37,5,94061,0
2.3842,20,21,2676,0
2.3971,4,33,338220,0
2.3979,20,19,270605,0
2.3979,2,22,8219,0
2.4087,20,5,28961,0
2.4132,0,34,364026,0
2.4132,12,13,22132,0
2.4163,11,8,16678,0
2.4165,7,4,909561,0
2.4171,11,8,348209,0
2.4182,34,35,31698,0
2.4208,39,4,12248,0
2.4267,8,24,83753,0
2.427,14,32,36081,0
2.4276,23,20,1064325,0
2.4359,33,32,19011,0
2.4421,37,7,1473343,0
2.4432,21,30,381156,0
2.451,26,27,179792,0
2.4527,24,30,102792,0
2.4575,6,9,6949,0
2.4583,40,14,160989,0
2.4649,23,21,64303,0
2.4668,26,29,5345546,0
2.4678,4,34,941310,0
2.4678,33,4,56171,0
2.4683,14,10,150308,0
2.4832,23,22,111124,0
2.4833,31,24,380956,0
2.4874,9,19,15457,0
2.4895,11,40,25639,0
2.497,23,19,5708940,0
2.5018,11,10,63694,0
2.5082,2,20,67256,0
2.5084,33,32,7512,0
2.5118,39,10,61397,0
2.5156,38,5,30408,0
2.519,39,40,7426,0
2.5196,0,8,70529,0
2.5276,24,1,18499,0
2.5285,8,0,352980,0
2.5307,25,3,185203,0
2.5358,11,10,416494,0
2.536,17,14,770524,0
2.5557,4,2,47348,0
2.5558,28,12,3450302,0
2.5608,2,21,355190,0
2.5656,37,40,471636,0
2.5714,12,34,198338,0
2.5718,3,11,242824,0
2.5806,7,35,95622,0
2.5835,32,30,105257,0
2.5916,20,19,304158,0
2.5958,37,13,356900,0
2.601,39,26,272150,0
2.6024,31,32,64332,0
2.6024,6,12,332294,0
2.6045,0,17,41409,0
2.6077,28,24,376943,0
2.6096,26,27,165242,0
2.6206,28,27,48510,0
2.6244,34,22,141316,0
2.6246,21,6,32546,0
2.6253,19,4,24407,0
2.6314,0,21,5297,0
2.6326,41,5,126867,0
2.6332,22,23,65014,0
2.6397,35,34,101945,0
2.6446,0,17,88024,0
2.6471,21,22,134590,0
2.6587,18,2,3671,0
2.6681,15,32,77900,0
2.6753,41,36,167814,0
2.6755,24,3,171689,0
2.6817,7,22,353143,0
2.6843,35,34,374856,0
2.6848,13,15,2155824,0
2.6858,18,23,75528,0
2.6871,40,34,259792,0
2.7072,39,37,78701,0
2.7302,14,31,32694,0
2.7356,22,0,132915,0
2.7417,34,33,46793,0
2.7445,33,9,324149,0
2.7453,17,13,352599,0
2.7489,14,1,17920,0
2.7548,2,41,110295,0
2.7565,19,32,1195193,0
2.7569,23,41,1088781,0
2.76,26,29,34776,0
2.7622,22,5,197166,0
2.7641,8,10,1159886,0
2.7727,3,14,49672,0
2.7766,32,33,7231,0
2.7803,3,10,145182,0
2.7828,24,28,342131,0
2.7887,26,29,48437,0
2.7893,20,10,11433,0
2.7943,23,34,31717,0
2.8249,39,5,3302486,0
2.8281,40,19,19708,0
2.8286,35,8,19810,0
2.8292,20,19,1054860,0
2.8399,40,5,101715,0
2.8453,0,30,764606,0
2.8575,33,38,70485,0
2.866,14,27,254067,0
2.8763,10,7,59540,0
2.8796,40,26,390984,0
2.8799,27,3,336773,0
2.8866,13,1,48094,0
2.8906,3,11,36652,0
2.892,37,11,63327,0
2.8977,9,6,122484,0
2.9028,7,15,726129,0
2.9047,28,27,169470,0
2.9057,34,14,411384,0
2.9066,23,19,108535,0
2.9091,17,40,58389,0
2.9279,37,40,34172,0
2.9299,2,33,380500,0
2.9321,25,23,328646,0
2.9324,22,23,70989,0
2.9325,31,27,262876,0
2.9326,2,21,13513,0
2.9348,40,36,2000,0
2.942,24,39,120401,0
2.95,22,31,265968,0
2.9535,26,18,28469,0
2.9583,23,19,159835,0
2.9628,10,2,72439,0
2.9644,3,5,263429,0
2.9702,15,30,809865,0
2.9743,17,1,322794,0
2.9801,26,21,26279,0
2.9804,9,10,51502,0
2.9831,12,32,3967,0
2.9843,31,23,27434,0
2.9843,34,31,21990,0
2.9865,24,21,37885,0
2.9888,28,26,40664,0
3.0063,34,28,13411,0
3.0086,31,35,11744,0
3.0163,23,2,431947,0
3.0179,3,27,87460,0
3.02,25,27,213467,0
3.0238,28,7,429320,0
3.0274,9,11,37403,0
3.0313,18,20,284571,0
3.0318,20,41,71946,0
3.0444,22,23,54173,0
3.0444,24,29,15729,0
3.0471,37,41,80616,0
3.0519,11,10,109510,0
3.0529,40,5,491312,0
3.0576,33,30,8034,0
3.069,4,32,1541025,0
3.0802,19,15,33092,0
3.0803,33,31,3642783,0
3.0865,31,4,39034,0
3.0921,0,7,605962,0
3.097,23,15,49159,0
3.1004,10,18,60403,0
3.1026,16,17,34118,0
3.109,11,7,224766,0
3.1099,1,4,165912,0
3.1121,10,6,179552,0
